id,title,popularity,vote_average,vote_count,release_date,source,genre_ids,original_language,adult,genre_count,is_english,is_adult,release_year,popularity_log,is_popular,is_recent
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,109.7826,7.7,850,2025-07-18,popular,"[16, 28, 14]",ja,False,3,0,0,2025,4.707569722269966,1,
350,The Devil Wears Prada,106.4381,7.43,13662,2006-06-29,popular,"[18, 35]",en,False,2,1,0,2006,4.676914867769708,1,
1318447,Apex,96.1046,6.779,1385,2026-04-24,popular,"[28, 53]",en,False,2,1,0,2026,4.575788748016575,1,
1628448,Maa Behen,97.0257,0.0,0,2026-06-04,popular,"[35, 53, 18]",hi,False,3,0,0,2026,4.585229689188348,1,
931285,Mortal Kombat II,99.6692,6.739,377,2026-05-06,popular,"[28, 14, 12]",en,False,3,1,0,2026,4.611839893953026,1,
104594,The Cave of the Silken Web,80.6181,5.727,11,1967-07-31,popular,"[14, 12, 28, 10402]",zh,False,4,0,0,1967,4.402051051098525,1,
1320660,Pati Patni Aur Woh Do,85.2964,7.5,4,2026-05-15,popular,[35],hi,False,1,0,0,2026,4.457787882271433,1,
936075,Michael,89.9358,7.601,921,2026-04-22,popular,"[10402, 18]",en,False,2,1,0,2026,4.510153763032998,1,
1297842,GOAT,94.7336,8.122,748,2026-02-11,popular,"[16, 35, 10751]",en,False,3,1,0,2026,4.5615693340174,1,
424711,Poppea's Hot Nights,104.7569,3.6,4,1969-01-01,popular,[35],it,False,1,0,0,1969,4.661143064024765,1,
235271,Addicted,86.6408,5.918,446,2014-10-10,popular,"[18, 53]",en,False,2,1,0,2014,4.473246642937544,1,
1291608,Dhurandhar,82.9988,7.2,298,2025-12-05,popular,"[28, 80, 53]",hi,False,3,0,0,2025,4.430802513026986,1,
1390300,Over Your Dead Body,81.8345,6.8,103,2026-04-24,popular,"[28, 35, 53]",en,False,3,1,0,2026,4.41684464127643,1,
1084242,Zootopia 2,84.3584,7.651,2886,2025-11-26,popular,"[12, 16, 35, 10751, 9648]",en,False,5,1,0,2025,4.446858862675369,1,
1239134,Bhooth Bangla,79.1874,6.5,10,2026-04-16,popular,"[27, 35]",hi,False,2,0,0,2026,4.384366395297914,1,
1699574,Deool Band 2,77.2157,0.0,0,2026-05-21,popular,"[35, 18]",mr,False,2,0,0,2026,4.359470394663642,1,
39254,Real Steel,79.7612,7.098,9180,2011-09-28,popular,"[28, 878, 18]",en,False,3,1,0,2011,4.391496652175256,1,
278,The Shawshank Redemption,76.3536,8.722,30498,1994-09-23,popular,"[18, 80]",en,False,2,1,0,1994,4.3483871176296445,1,
1292415,Beast,72.266,6.3,49,2026-04-10,popular,"[28, 18]",en,False,2,1,0,2026,4.29409665407894,1,
744275,After We Fell,74.8974,7.004,2744,2021-09-01,popular,"[18, 10749]",en,False,2,1,0,2021,4.329382428215375,1,
157336,Interstellar,72.0966,8.477,39928,2014-11-05,popular,"[12, 18, 878]",en,False,3,1,0,2014,4.291781854046127,1,
